epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8405,1.32406,2.21101,1.57188,0.52435,0.46689,0.39994,0.2737,1.16915,5.26646,1.3482,0.000407407,0.000407407,0.000407407
2,39.9588,1.41058,1.59236,1.64034,0.37759,0.53757,0.37531,0.17919,1.83904,4.02811,2.17254,0.000820811,0.000820811,0.000820811
3,57.9445,1.46642,1.59703,1.67612,0.29242,0.30656,0.2196,0.12494,1.72044,5.61823,2.00638,0.00123091,0.00123091,0.00123091
4,74.0796,1.45383,1.52454,1.65427,0.37531,0.38621,0.32026,0.19462,1.72511,4.81656,1.99263,0.00123515,0.00123515,0.00123515
5,91.8927,1.45439,1.42742,1.65592,0.82101,0.47268,0.51109,0.27693,1.72308,2.45929,1.98838,0.0012302,0.0012302,0.0012302
6,109.567,1.40382,1.36814,1.60459,0.57687,0.38109,0.43999,0.28432,1.45327,3.29436,1.68474,0.00122525,0.00122525,0.00122525
7,127.553,1.39818,1.32822,1.61242,0.55536,0.54966,0.53087,0.30655,1.55961,2.59782,1.75474,0.0012203,0.0012203,0.0012203
8,145.643,1.35679,1.22604,1.57976,0.68847,0.62376,0.65897,0.39891,1.42196,1.90943,1.65542,0.00121535,0.00121535,0.00121535
9,163.336,1.3436,1.20898,1.57496,0.48038,0.61644,0.61507,0.37336,1.52179,1.78033,1.73405,0.0012104,0.0012104,0.0012104
10,181.916,1.31135,1.15903,1.5337,0.67135,0.58414,0.58715,0.39106,1.39214,1.666,1.61357,0.00120545,0.00120545,0.00120545
11,200.773,1.25963,1.11816,1.51081,0.69151,0.58026,0.62105,0.3938,1.43095,1.92059,1.69649,0.0012005,0.0012005,0.0012005
12,219.844,1.23812,1.05348,1.49067,0.66725,0.55612,0.58622,0.3346,1.55665,2.20976,1.73951,0.00119555,0.00119555,0.00119555
13,238.444,1.19727,0.97322,1.45815,0.62211,0.52648,0.60376,0.36626,1.34436,1.69957,1.56483,0.0011906,0.0011906,0.0011906
14,256.689,1.19584,1.03903,1.45902,0.6754,0.58217,0.61766,0.4388,1.13113,1.80823,1.46056,0.00118565,0.00118565,0.00118565
15,275.229,1.16991,1.01167,1.44178,0.71046,0.58542,0.66135,0.44085,1.30845,1.52949,1.64736,0.0011807,0.0011807,0.0011807
16,293.604,1.15183,0.95685,1.42858,0.73761,0.75389,0.7324,0.50249,1.1531,1.20713,1.43969,0.00117575,0.00117575,0.00117575
17,312.044,1.13153,0.96188,1.421,0.65965,0.6504,0.64158,0.44917,1.15482,1.60237,1.43812,0.0011708,0.0011708,0.0011708
18,330.161,1.09177,0.90362,1.39398,0.75044,0.7137,0.78131,0.54904,1.08853,1.10609,1.42481,0.00116585,0.00116585,0.00116585
19,348.491,1.13213,0.91526,1.41058,0.83086,0.63254,0.71448,0.48326,1.26344,1.35168,1.57744,0.0011609,0.0011609,0.0011609
20,367.099,1.08191,0.87222,1.39857,0.89124,0.75718,0.81511,0.58624,1.10949,1.10925,1.4664,0.00115595,0.00115595,0.00115595
21,386.574,1.0988,0.86707,1.40628,0.84266,0.73961,0.81072,0.57312,1.04749,1.03999,1.39245,0.001151,0.001151,0.001151
22,405.9,1.09376,0.85283,1.37788,0.82782,0.67141,0.76555,0.56684,1.02674,1.11894,1.36988,0.00114605,0.00114605,0.00114605
23,425.22,1.07354,0.81284,1.3911,0.79786,0.69165,0.74768,0.51481,1.17225,1.21773,1.45724,0.0011411,0.0011411,0.0011411
24,443.253,1.04409,0.80409,1.35106,0.83335,0.77005,0.83245,0.58094,1.15478,1.02149,1.44662,0.00113615,0.00113615,0.00113615
25,461.215,1.03305,0.78229,1.34405,0.7309,0.75106,0.76898,0.60001,0.99033,1.02968,1.30351,0.0011312,0.0011312,0.0011312
26,479.922,0.99674,0.76547,1.32629,0.86475,0.76129,0.81293,0.5997,0.9281,0.96558,1.28578,0.00112625,0.00112625,0.00112625
27,499.058,0.99314,0.74759,1.33281,0.80399,0.73928,0.73679,0.5265,1.03007,1.22176,1.42215,0.0011213,0.0011213,0.0011213
28,517.397,0.9834,0.75378,1.31934,0.78168,0.67041,0.72434,0.52931,1.03209,1.08289,1.37955,0.00111635,0.00111635,0.00111635
29,535.8,1.00053,0.76843,1.3208,0.77755,0.66795,0.74609,0.53091,1.03383,1.21085,1.42224,0.0011114,0.0011114,0.0011114
30,553.718,0.99446,0.74436,1.3179,0.8628,0.73755,0.80291,0.61169,0.95269,0.96886,1.33396,0.00110645,0.00110645,0.00110645
31,571.992,0.95086,0.73562,1.29905,0.96965,0.75554,0.85804,0.64172,0.90021,0.91754,1.29062,0.0011015,0.0011015,0.0011015
32,589.428,0.95,0.73452,1.29165,0.88251,0.71562,0.8128,0.63734,0.9202,1.03589,1.28851,0.00109655,0.00109655,0.00109655
33,606.539,0.93569,0.69438,1.28355,0.87994,0.68604,0.77566,0.56224,0.95835,1.0932,1.30655,0.0010916,0.0010916,0.0010916
34,624.395,0.94786,0.70821,1.28327,0.89526,0.72089,0.81398,0.59852,1.04315,0.98332,1.38142,0.00108665,0.00108665,0.00108665
35,641.945,0.92916,0.69076,1.26813,0.88,0.7412,0.8252,0.5961,0.97822,0.94707,1.35618,0.0010817,0.0010817,0.0010817
36,659.661,0.93287,0.66428,1.27707,0.83112,0.75417,0.80242,0.6132,0.94943,0.91263,1.29807,0.00107675,0.00107675,0.00107675
37,676.012,0.91706,0.65706,1.26236,0.89129,0.69849,0.80564,0.56865,1.11507,1.28664,1.44113,0.0010718,0.0010718,0.0010718
38,692.835,0.91089,0.66115,1.25845,0.85459,0.72492,0.79544,0.58914,1.0193,1.05718,1.36592,0.00106685,0.00106685,0.00106685
39,710.017,0.88271,0.65256,1.2434,0.80091,0.8097,0.79148,0.57295,1.01211,1.01784,1.34803,0.0010619,0.0010619,0.0010619
40,727.315,0.90926,0.66499,1.27724,0.90298,0.78717,0.84901,0.64461,0.96631,0.89509,1.3956,0.00105695,0.00105695,0.00105695
41,744.762,0.88846,0.62438,1.23753,0.84958,0.75657,0.8389,0.61309,0.92131,0.84963,1.33024,0.001052,0.001052,0.001052
42,762.087,0.87831,0.63995,1.23744,0.87169,0.73714,0.82245,0.61774,0.89614,0.92711,1.32659,0.00104705,0.00104705,0.00104705
43,779.64,0.87672,0.61053,1.23252,0.8362,0.77097,0.78521,0.58079,0.92609,0.99126,1.3764,0.0010421,0.0010421,0.0010421
44,797.425,0.88511,0.62395,1.23334,0.88042,0.70654,0.76443,0.58969,0.92928,0.9691,1.30316,0.00103715,0.00103715,0.00103715
45,815.328,0.87473,0.64157,1.24066,0.88175,0.75917,0.80716,0.60486,0.96238,0.95935,1.32353,0.0010322,0.0010322,0.0010322
46,832.71,0.85294,0.5847,1.21793,0.77026,0.81987,0.82105,0.62053,0.91935,0.82471,1.32038,0.00102725,0.00102725,0.00102725
47,850.124,0.83305,0.59123,1.20479,0.78885,0.83565,0.82825,0.61221,0.92402,0.84002,1.33439,0.0010223,0.0010223,0.0010223
48,867.862,0.83026,0.59091,1.20011,0.88822,0.71437,0.79837,0.59458,0.99008,1.07035,1.37847,0.00101735,0.00101735,0.00101735
49,884.909,0.82517,0.57757,1.18523,0.83149,0.72361,0.74801,0.5791,0.87282,0.97959,1.27707,0.0010124,0.0010124,0.0010124
50,902.333,0.82775,0.58148,1.19618,0.80074,0.74881,0.7673,0.55776,0.97545,0.97728,1.39329,0.00100745,0.00100745,0.00100745
51,919.424,0.8279,0.56952,1.21031,0.89624,0.80345,0.83489,0.63816,0.8829,0.9294,1.25024,0.0010025,0.0010025,0.0010025
52,936.9,0.80321,0.56967,1.17843,0.83692,0.75142,0.82372,0.61282,0.91758,0.86515,1.32092,0.00099755,0.00099755,0.00099755
53,952.695,0.80975,0.55983,1.18954,0.80808,0.82228,0.83424,0.60682,0.9444,0.80848,1.3801,0.0009926,0.0009926,0.0009926
54,963.912,0.7902,0.53486,1.17138,0.7758,0.80149,0.80755,0.60323,0.97796,0.94629,1.38602,0.00098765,0.00098765,0.00098765
55,978.017,0.78215,0.54097,1.16871,0.84573,0.79403,0.83866,0.59911,1.0286,0.84185,1.35318,0.0009827,0.0009827,0.0009827
56,995.958,0.7903,0.53992,1.17001,0.88145,0.70777,0.82807,0.62576,0.92926,0.90324,1.32362,0.00097775,0.00097775,0.00097775
57,1014.49,0.7723,0.55093,1.1597,0.79112,0.78847,0.81331,0.61571,0.89177,0.91583,1.30857,0.0009728,0.0009728,0.0009728
58,1032.05,0.79904,0.55434,1.17762,0.809,0.79341,0.82345,0.62525,0.92771,0.84655,1.32331,0.00096785,0.00096785,0.00096785
59,1049.37,0.78684,0.52629,1.17761,0.78788,0.81761,0.82373,0.65598,0.8559,0.77274,1.28679,0.0009629,0.0009629,0.0009629
60,1067.62,0.78129,0.53509,1.16466,0.91647,0.78325,0.84916,0.65009,0.92511,0.765,1.33286,0.00095795,0.00095795,0.00095795
61,1084.95,0.75083,0.51575,1.1416,0.79836,0.78561,0.7919,0.59922,0.97451,1.02017,1.29711,0.000953,0.000953,0.000953
62,1098.55,0.79265,0.53135,1.1627,0.78721,0.76221,0.80229,0.5983,0.99269,0.96454,1.37272,0.00094805,0.00094805,0.00094805
63,1111.27,0.76263,0.5294,1.14863,0.85215,0.79417,0.83481,0.63394,0.95707,0.80873,1.31708,0.0009431,0.0009431,0.0009431
64,1121.77,0.74072,0.51562,1.13818,0.89715,0.70572,0.81107,0.62336,0.95018,0.89006,1.41242,0.00093815,0.00093815,0.00093815
65,1132.21,0.7502,0.52816,1.14234,0.78754,0.75428,0.78892,0.59585,0.94775,0.93282,1.30328,0.0009332,0.0009332,0.0009332
66,1147.43,0.75505,0.52399,1.15383,0.88685,0.76801,0.8316,0.61417,0.96523,0.81994,1.32713,0.00092825,0.00092825,0.00092825
67,1164.51,0.72065,0.50509,1.12679,0.8906,0.73826,0.81971,0.62514,0.91224,0.86323,1.30019,0.0009233,0.0009233,0.0009233
68,1182.65,0.71499,0.49742,1.1293,0.87201,0.77062,0.82061,0.60982,0.91795,0.9455,1.30974,0.00091835,0.00091835,0.00091835
69,1200.72,0.7271,0.49256,1.12168,0.83467,0.79751,0.83629,0.60757,0.9787,0.92968,1.35068,0.0009134,0.0009134,0.0009134
70,1218.55,0.72957,0.50261,1.14276,0.75687,0.80636,0.8111,0.63472,0.93238,0.83989,1.32447,0.00090845,0.00090845,0.00090845
71,1236.77,0.72126,0.48299,1.12431,0.76482,0.82224,0.81021,0.62359,0.91424,0.88416,1.28361,0.0009035,0.0009035,0.0009035
72,1254.67,0.72804,0.51146,1.1413,0.86713,0.7688,0.85842,0.66577,0.90532,0.82602,1.27279,0.00089855,0.00089855,0.00089855
73,1272.7,0.68371,0.47513,1.11509,0.89632,0.76437,0.84921,0.66111,0.86419,0.89715,1.29122,0.0008936,0.0008936,0.0008936
74,1290.52,0.72916,0.50341,1.13917,0.85501,0.71495,0.81826,0.65239,0.95878,0.9223,1.34497,0.00088865,0.00088865,0.00088865
75,1308.93,0.70824,0.47173,1.10891,0.78418,0.80446,0.82229,0.61587,0.94046,0.83417,1.34852,0.0008837,0.0008837,0.0008837
76,1327.39,0.68826,0.47143,1.10244,0.80838,0.8313,0.84046,0.62712,0.9473,0.81058,1.36344,0.00087875,0.00087875,0.00087875
77,1345.75,0.66981,0.46419,1.08933,0.8647,0.80908,0.8613,0.6352,1.00757,0.85384,1.45024,0.0008738,0.0008738,0.0008738
78,1364.87,0.70046,0.49363,1.12101,0.82686,0.8046,0.84102,0.63808,0.92929,0.84497,1.37684,0.00086885,0.00086885,0.00086885
79,1383.42,0.70357,0.46672,1.12867,0.81005,0.74615,0.80489,0.61381,0.93451,0.97203,1.28158,0.0008639,0.0008639,0.0008639
80,1402.12,0.68752,0.46566,1.10121,0.90149,0.76076,0.82646,0.65487,0.8939,0.81741,1.32653,0.00085895,0.00085895,0.00085895
81,1421.25,0.6823,0.46259,1.09573,0.85655,0.82192,0.8501,0.63668,0.95635,0.81067,1.39311,0.000854,0.000854,0.000854
82,1440.31,0.70818,0.47353,1.11278,0.86041,0.74783,0.81687,0.6308,0.90526,0.88441,1.37107,0.00084905,0.00084905,0.00084905
83,1459.29,0.68334,0.45939,1.10261,0.94552,0.71633,0.82784,0.63543,0.88444,0.85154,1.33126,0.0008441,0.0008441,0.0008441
84,1478.78,0.66428,0.44363,1.09273,0.95119,0.72389,0.82127,0.64534,0.90875,0.9456,1.31604,0.00083915,0.00083915,0.00083915
85,1498.75,0.66529,0.45885,1.10165,0.88907,0.7414,0.81275,0.62439,0.89824,0.93427,1.33624,0.0008342,0.0008342,0.0008342
86,1518.24,0.65349,0.44625,1.09182,0.84522,0.76592,0.81997,0.63799,0.88642,0.95737,1.28972,0.00082925,0.00082925,0.00082925
87,1531.47,0.66014,0.4455,1.09416,0.87539,0.7695,0.81827,0.59853,1.0025,0.91063,1.43099,0.0008243,0.0008243,0.0008243
88,1547.83,0.66621,0.43948,1.09149,0.89837,0.83578,0.84586,0.60278,1.01493,0.7794,1.41284,0.00081935,0.00081935,0.00081935
89,1565.87,0.647,0.44547,1.07348,0.85169,0.7402,0.78445,0.61829,0.93075,0.88606,1.3483,0.0008144,0.0008144,0.0008144
