epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.359,3.01037,8.4073,2.98678,0.08897,0.22174,0.09082,0.0721,1.47854,6.89611,2.14214,0.0675704,0.000162963,0.000162963
2,47.5556,2.77497,5.9869,2.8656,0.39156,0.52305,0.428,0.32593,1.66752,5.19856,2.08836,0.0343971,0.000323044,0.000323044
3,63.489,2.70524,4.34326,2.70802,0.57175,0.54768,0.57304,0.41841,2.11667,3.68168,2.21719,0.00121721,0.000476464,0.000476464
4,79.3045,2.56085,3.37428,2.60171,0.59896,0.63724,0.64341,0.46628,2.15739,3.08392,2.18417,0.00047003,0.00047003,0.00047003
5,95.5969,2.52927,2.86812,2.55716,0.74995,0.66908,0.73333,0.5153,2.2424,2.57971,2.18674,0.00046004,0.00046004,0.00046004
6,111.23,2.45624,2.45244,2.47536,0.74786,0.69547,0.75589,0.55154,2.15349,2.1883,2.15011,0.00045005,0.00045005,0.00045005
7,126.59,2.42942,2.27104,2.45746,0.85907,0.67279,0.78127,0.5611,2.13393,2.05933,2.14326,0.00044006,0.00044006,0.00044006
8,142.322,2.37616,2.09882,2.42972,0.7273,0.74318,0.76119,0.53882,2.29629,2.01664,2.21059,0.00043007,0.00043007,0.00043007
9,157.715,2.34241,1.94955,2.39892,0.76234,0.68963,0.75424,0.54707,2.28373,1.98329,2.22158,0.00042008,0.00042008,0.00042008
10,173.018,2.34208,1.80851,2.39637,0.83921,0.74352,0.80301,0.56933,2.25291,1.82133,2.2007,0.00041009,0.00041009,0.00041009
11,188.419,2.26128,1.74402,2.35628,0.73557,0.76352,0.78883,0.56929,2.16406,1.88798,2.1567,0.0004001,0.0004001,0.0004001
12,203.861,2.27219,1.70404,2.34481,0.90588,0.67917,0.7938,0.55493,2.25167,1.79993,2.20013,0.00039011,0.00039011,0.00039011
13,219.173,2.18526,1.54993,2.31412,0.87783,0.72451,0.81822,0.58821,2.05705,1.7231,2.14296,0.00038012,0.00038012,0.00038012
14,234.687,2.18415,1.55565,2.33028,0.85529,0.71293,0.82023,0.60614,2.02316,1.63769,2.12275,0.00037013,0.00037013,0.00037013
15,250.176,2.1371,1.52255,2.31964,0.80829,0.74679,0.82824,0.61417,1.92896,1.65675,2.06687,0.00036014,0.00036014,0.00036014
16,265.742,2.07834,1.48556,2.28156,0.87538,0.72654,0.81931,0.59007,2.05819,1.75153,2.1365,0.00035015,0.00035015,0.00035015
17,281.241,2.04746,1.50658,2.28822,0.77177,0.75416,0.80305,0.6351,1.70357,1.69497,2.02973,0.00034016,0.00034016,0.00034016
18,296.646,1.96653,1.42382,2.23869,0.82661,0.73195,0.81093,0.62998,1.78728,1.60904,2.05995,0.00033017,0.00033017,0.00033017
19,312.045,1.97755,1.44758,2.22465,0.76153,0.77281,0.81864,0.641,1.67646,1.5361,2.0174,0.00032018,0.00032018,0.00032018
20,327.473,1.93382,1.44104,2.22267,0.91352,0.6869,0.83852,0.65869,1.71024,1.59916,2.00911,0.00031019,0.00031019,0.00031019
21,342.903,1.87534,1.3345,2.20174,0.87266,0.76919,0.85669,0.68649,1.60513,1.56094,1.97876,0.0003002,0.0003002,0.0003002
22,358.249,1.89347,1.32934,2.20738,0.87568,0.75246,0.83226,0.68411,1.45962,1.58644,1.92028,0.00029021,0.00029021,0.00029021
23,373.502,1.84654,1.30877,2.18712,0.81619,0.73946,0.81758,0.66005,1.5078,1.58816,1.93959,0.00028022,0.00028022,0.00028022
24,389.024,1.86105,1.29907,2.17409,0.81609,0.79085,0.84278,0.67238,1.54035,1.5454,1.94122,0.00027023,0.00027023,0.00027023
25,404.763,1.81254,1.29078,2.16507,0.7961,0.74827,0.81377,0.67551,1.52196,1.6283,1.94226,0.00026024,0.00026024,0.00026024
26,420.024,1.74252,1.20112,2.14298,0.87295,0.70315,0.82786,0.68425,1.37033,1.6036,1.90712,0.00025025,0.00025025,0.00025025
27,435.373,1.74522,1.20236,2.14763,0.78547,0.79516,0.84284,0.68681,1.48686,1.49638,1.94307,0.00024026,0.00024026,0.00024026
28,450.771,1.71892,1.19558,2.12193,0.86179,0.75793,0.86022,0.71889,1.43795,1.43265,1.93439,0.00023027,0.00023027,0.00023027
29,466.073,1.72878,1.20262,2.12842,0.85314,0.76882,0.86142,0.71477,1.44309,1.46552,1.90773,0.00022028,0.00022028,0.00022028
30,481.625,1.73722,1.20258,2.13813,0.82221,0.748,0.84126,0.70846,1.3878,1.53747,1.91435,0.00021029,0.00021029,0.00021029
31,497.056,1.67926,1.16605,2.11547,0.91341,0.73618,0.856,0.71602,1.39825,1.4726,1.93313,0.0002003,0.0002003,0.0002003
32,512.438,1.64366,1.13406,2.11223,0.89973,0.70877,0.85456,0.70839,1.40323,1.48143,1.92744,0.00019031,0.00019031,0.00019031
33,527.886,1.6609,1.14213,2.10947,0.85078,0.76285,0.8535,0.70468,1.47989,1.44251,1.96767,0.00018032,0.00018032,0.00018032
34,543.312,1.67564,1.13468,2.10945,0.86164,0.7876,0.85039,0.69513,1.49224,1.49461,1.98845,0.00017033,0.00017033,0.00017033
35,558.719,1.68648,1.1405,2.12395,0.86956,0.7249,0.849,0.69417,1.48972,1.44029,1.99455,0.00016034,0.00016034,0.00016034
