epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.6286,1.42844,1.69498,1.49956,0.55129,0.5373,0.57609,0.36077,1.32218,2.10372,1.43362,0.0672112,0.000264426,0.000264426
2,81.2396,1.4417,1.35366,1.52804,0.57345,0.55696,0.57257,0.33379,1.50211,2.0238,1.65879,0.0341339,0.000520471,0.000520471
3,117.843,1.47552,1.40602,1.53667,0.6735,0.69068,0.69097,0.42858,1.41196,1.36014,1.46898,0.00104596,0.000765849,0.000765849
4,154.159,1.39346,1.26281,1.49808,0.66966,0.6516,0.69287,0.43346,1.31244,1.48328,1.45777,0.000752,0.000752,0.000752
5,190.667,1.46824,1.30108,1.54676,0.66028,0.67065,0.69304,0.44834,1.23342,1.7961,1.38737,0.000736,0.000736,0.000736
6,227.119,1.38743,1.2081,1.49549,0.80754,0.66444,0.75042,0.46087,1.37527,1.27834,1.46051,0.00072,0.00072,0.00072
7,263.423,1.37036,1.17084,1.46638,0.64614,0.67046,0.68049,0.39696,1.57962,1.30846,1.59177,0.000704,0.000704,0.000704
8,299.638,1.38655,1.15472,1.49771,0.77895,0.67044,0.74668,0.42385,1.49117,1.28465,1.50768,0.000688,0.000688,0.000688
9,336.077,1.30397,1.06323,1.43027,0.74443,0.63894,0.70729,0.38522,1.49701,1.35943,1.57733,0.000672,0.000672,0.000672
10,372.358,1.29339,1.03889,1.41334,0.62918,0.67447,0.68067,0.43181,1.32462,1.40034,1.43175,0.000656,0.000656,0.000656
11,408.599,1.32286,1.01046,1.44771,0.74725,0.63988,0.6923,0.42057,1.4071,1.22308,1.4757,0.00064,0.00064,0.00064
12,444.83,1.27441,0.9882,1.40344,0.81114,0.70547,0.79002,0.48437,1.37103,0.99102,1.45109,0.000624,0.000624,0.000624
13,481.15,1.25463,0.9716,1.40101,0.80497,0.66663,0.76108,0.49503,1.27526,1.05047,1.38255,0.000608,0.000608,0.000608
14,517.657,1.25905,0.91876,1.41023,0.66067,0.67927,0.71412,0.49327,1.19812,1.11223,1.38782,0.000592,0.000592,0.000592
15,553.933,1.24025,0.915,1.40112,0.84407,0.7114,0.79508,0.49225,1.30076,0.92529,1.38686,0.000576,0.000576,0.000576
16,590.292,1.193,0.8728,1.37247,0.72889,0.78635,0.78558,0.50123,1.3136,0.95023,1.43726,0.00056,0.00056,0.00056
17,626.834,1.19488,0.8631,1.37444,0.82608,0.6626,0.78098,0.54549,1.16893,1.02703,1.33973,0.000544,0.000544,0.000544
18,663.326,1.18862,0.86025,1.3601,0.78502,0.74459,0.79001,0.50551,1.21673,0.96842,1.37218,0.000528,0.000528,0.000528
19,699.42,1.18413,0.86611,1.36685,0.80983,0.78204,0.80456,0.53267,1.17343,0.97769,1.33102,0.000512,0.000512,0.000512
20,735.765,1.14894,0.83881,1.33218,0.76414,0.76729,0.8019,0.5506,1.11319,0.89696,1.33151,0.000496,0.000496,0.000496
21,772.128,1.10514,0.78457,1.31721,0.81733,0.73133,0.78967,0.5273,1.14716,0.95475,1.35872,0.00048,0.00048,0.00048
22,808.328,1.09879,0.78442,1.30972,0.80563,0.70701,0.77249,0.54644,1.03823,0.90296,1.26496,0.000464,0.000464,0.000464
23,844.595,1.07615,0.77552,1.29639,0.79356,0.73421,0.77187,0.56867,0.93383,1.00478,1.21798,0.000448,0.000448,0.000448
24,881.008,1.10916,0.75379,1.31086,0.84604,0.72922,0.78969,0.57967,1.02004,0.83745,1.24752,0.000432,0.000432,0.000432
25,917.41,1.03983,0.72274,1.27159,0.74083,0.76057,0.798,0.58706,1.02579,0.9674,1.23635,0.000416,0.000416,0.000416
