epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5303,1.32453,2.15173,1.36356,0.53098,0.53918,0.59324,0.38152,1.29398,2.03976,1.26535,0.000407407,0.000407407,0.000407407
2,41.6859,1.39201,1.48229,1.45274,0.51143,0.57362,0.50601,0.30821,1.39203,2.77691,1.48161,0.000820778,0.000820778,0.000820778
3,59.3337,1.44115,1.40015,1.5034,0.31763,0.39492,0.33609,0.1876,1.59299,3.14491,1.64484,0.00123081,0.00123081,0.00123081
4,76.0492,1.42422,1.32272,1.48667,0.40987,0.43987,0.43931,0.27362,1.51188,3.22499,1.64376,0.001235,0.001235,0.001235
5,92.8871,1.40614,1.28295,1.4613,0.6133,0.58624,0.61716,0.3495,1.63786,2.06297,1.63618,0.00123,0.00123,0.00123
6,109.398,1.35832,1.20259,1.41455,0.59802,0.60236,0.56007,0.33083,1.55306,1.77823,1.5198,0.001225,0.001225,0.001225
7,126.053,1.37189,1.18599,1.43005,0.54029,0.51294,0.50941,0.31236,1.52367,2.03423,1.50421,0.00122,0.00122,0.00122
8,142.63,1.29384,1.10433,1.37416,0.68378,0.62085,0.65778,0.47295,1.18043,1.33647,1.37249,0.001215,0.001215,0.001215
9,159.165,1.29422,1.08138,1.38736,0.72695,0.56649,0.63534,0.33803,1.66686,1.57578,1.58506,0.00121,0.00121,0.00121
10,175.639,1.27219,1.05046,1.37722,0.68415,0.63009,0.69047,0.4164,1.41769,1.45917,1.48598,0.001205,0.001205,0.001205
11,192.024,1.24984,1.0268,1.36268,0.69433,0.65986,0.69828,0.46062,1.32015,1.28274,1.41693,0.0012,0.0012,0.0012
12,208.465,1.23508,0.97735,1.33168,0.57072,0.60274,0.57604,0.40059,1.28742,1.70882,1.38565,0.001195,0.001195,0.001195
13,224.853,1.17094,0.91789,1.2996,0.774,0.5092,0.70625,0.48479,1.26035,1.3714,1.40572,0.00119,0.00119,0.00119
14,241.311,1.20235,0.9326,1.32793,0.75154,0.71782,0.76249,0.48439,1.23022,1.38291,1.3416,0.001185,0.001185,0.001185
15,257.739,1.16627,0.88642,1.30072,0.61782,0.6672,0.62283,0.42877,1.19444,1.54026,1.35595,0.00118,0.00118,0.00118
